"","retailer_name","minor_involved","sale_to_minor","product_type","brand","flavor","inspection_date","decision_date","inspection_result","link","charges","address","newdate","year"
"405","XL DELI GROCERY","Yes","Yes","Cigar(s)","Other",NA,"See Complaint","06/10/2020","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2020-H-1513"")","See Complaint","3773 WHITE PLAINS ROAD, BRONX, NY, 10467",2020-06-10,"2020"
"406","165 WOODYCREST GROCERY","Yes","Yes","Cigar(s)","Other",NA,"See Complaint","06/08/2020","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2020-H-1503"")","See Complaint","82 W 165TH ST, BRONX, NY, 10452",2020-06-08,"2020"
"407","PRESTIGE GOURMET DELI","Yes","Yes","Cigar(s)","Other",NA,"See Complaint","06/05/2020","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2020-H-1493"")","See Complaint","362 MARCUS GARVEY BOULEVARD, BROOKLYN, NY, 11221",2020-06-05,"2020"
"408","277 DELI","Yes","Yes","Cigar(s)","Other",NA,"See Complaint","05/26/2020","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2020-H-1419"")","See Complaint","11802 JAMAICA AVENUE, RICHMOND HILL, NY, 11418",2020-05-26,"2020"
"409","79 LIVONIA AVE DELI & GRILL","Yes","Yes","Cigar(s)","Other",NA,"03/10/2020","04/02/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","79 LIVONIA AVE, BROOKLYN, NY, 11212",2020-04-02,"2020"
"410","LUCKY STAR GOURMET DELI","Yes","Yes","Cigar(s)","Other",NA,"See Complaint","03/31/2020","No-Tobacco-Sale Order","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2020-R-1221"")","See Complaint","856 EAST 180TH STREET, BRONX, NY, 10460",2020-03-31,"2020"
"411","STOP ONE DELI CORP.","Yes","Yes","Cigar(s)","Other",NA,"See Complaint","03/27/2020","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2020-H-1211"")","See Complaint","124 EAST 183RD STREET, BRONX, NY, 10453",2020-03-27,"2020"
"412","277 SUPERMARKET CORP.","Yes","Yes","Cigar(s)","Other",NA,"02/12/2020","03/12/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","277 SUTTER AVE, BROOKLYN, NY, 11212",2020-03-12,"2020"
"413","ZAIM COFFEE SHOP / TOBACCO SHOP & NEWS STAND","Yes","Yes","Cigar(s)","Other",NA,"02/20/2020","03/05/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","1102 SAINT JOHNS PL, BROOKLYN, NY, 11213",2020-03-05,"2020"
"414","RAED DELI / SAMMY'S DELI & GRILL","Yes","Yes","Cigar(s)","Game",NA,"02/23/2020","03/05/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","1126 WESTCHESTER AVE, BRONX, NY, 10459",2020-03-05,"2020"
"415","LOS PRIMOS GROCERY","Yes","Yes","Cigar(s)","Other",NA,"02/12/2020","03/05/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","57 SUTTER AVENUE, BROOKLYN, NY, 11212",2020-03-05,"2020"
"416","224 RAMI DELI","Yes","Yes","Cigar(s)","Other",NA,"See Complaint","03/03/2020","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2020-H-0994"")","See Complaint","224 WILLIS AVENUE, BRONX, NY, 10454",2020-03-03,"2020"
"417","85 CONVENIENCE","Yes","Yes","Cigar(s)","Other",NA,"See Complaint","02/28/2020","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2020-H-0958"")","See Complaint","85 WEST FORDHAM ROAD, BRONX, NY, 10468",2020-02-28,"2020"
"418","SUTTER CONVENIENCE & SMOKE SHOP","Yes","Yes","Cigar(s)","Other",NA,"02/12/2020","02/27/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","424 SUTTER AVE, SUITE A, BROOKLYN, NY, 11212",2020-02-27,"2020"
"419","DELI GROCERY CORPORATION","Yes","Yes","Hookah tobacco","Al Fakher",NA,"02/10/2020","02/27/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","766 EAST 152ND STREET, BRONX, NY, 10455",2020-02-27,"2020"
"420","YAFA DELI & GROCERY","Yes","Yes","Cigar(s)","Other",NA,"01/22/2020","02/06/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","907 FULTON ST, BROOKLYN, NY, 11238",2020-02-06,"2020"
"421","87TH DELI INC. 1","Yes","Yes","Cigar(s)","Other",NA,"01/04/2020","01/23/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","562 AMSTERDAM AVENUE, NEW YORK, NY, 10024",2020-01-23,"2020"
"422","3 GUYS DELI AND GRILL","Yes","Yes","Cigar(s)","Other",NA,"01/07/2020","01/23/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","773 PARK AVENUE, BROOKLYN, NY, 11206",2020-01-23,"2020"
"423","7-ELEVEN","Yes","Yes","Cigar(s)","Other",NA,"01/02/2020","01/23/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","146-26 NORTHERN BLVD, FLUSHING, NY, 11354",2020-01-23,"2020"
"424","BIG APPLE GROCERY STORE","Yes","Yes","Cigar(s)","Other",NA,"01/04/2020","01/23/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","1850 3RD AVENUE, NEW YORK, NY, 10029",2020-01-23,"2020"
"425","WESTSIDE CONVENIENCES","Yes","Yes","Cigar(s)","Other",NA,"01/04/2020","01/23/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","614 AMSTERDAM AVENUE, NEW YORK, NY, 10024",2020-01-23,"2020"
"426","JOHANSEL DELI FOOD CORP.","Yes","Yes","Cigar(s)","Other",NA,"01/11/2020","01/23/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","383 NOSTRAND AVE, BROOKLYN, NY, 11216",2020-01-23,"2020"
"427","MARS DELI","Yes","Yes","Cigar(s)","Other",NA,"01/02/2020","01/23/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","44-47 KISSENA BLVD, FLUSHING, NY, 11355",2020-01-23,"2020"
"428","GATES FINEST DELI","Yes","Yes","Cigar(s)","Other",NA,"01/11/2020","01/23/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","318 TOMPKINS AVENUE, BROOKLYN, NY, 11216",2020-01-23,"2020"
"429","SHAMSALDEEN FOOD MARKET","Yes","Yes","Cigar(s)","Other",NA,"01/07/2020","01/23/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","313 NOSTRAND AVE, BROOKLYN, NY, 11216",2020-01-23,"2020"
"430","ROYAL DELI 1","Yes","Yes","Cigar(s)","Other",NA,"12/13/2019","01/16/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","2059 FULTON ST, BROOKLYN, NY, 11233",2020-01-16,"2020"
"431","R AND H CANDY AND TOBACCO","Yes","Yes","Cigar(s)","Black & Mild",NA,"12/15/2019","01/16/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","77 RICHMOND HILL RD STE A, STATEN ISLAND, NY, 10314",2020-01-16,"2020"
"432","SUNNY MORNINGSTAR GROCERY & DELI","Yes","Yes","Cigarettes in a package","Newport",NA,"12/15/2019","01/16/2020","Warning Letter Issued",NA,"1140.14(a)(1)-Sale to a minor","268 MORNINGSTAR RD, STATEN ISLAND, NY, 10303",2020-01-16,"2020"
"433","3016 RICHMOND DELI CORP.","Yes","Yes","Cigar(s)","Black & Mild",NA,"See Complaint","01/13/2020","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2020-H-0156"")","See Complaint","3016 RICHMOND TERRACE, STATEN ISLAND, NY, 10303",2020-01-13,"2020"
"434","86TH ST GOURMET DELI & GROCERY","Yes","Yes","Cigar(s)","Other",NA,"12/12/2019","01/09/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","8523 18TH AVENUE, BROOKLYN, NY, 11214",2020-01-09,"2020"
"435","RALPH AVENUE DELI CORP.","Yes","Yes","Cigar(s)","Other",NA,"12/13/2019","01/09/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","444 RALPH AVENUE, BROOKLYN, NY, 11233",2020-01-09,"2020"
"436","BOSTON GOURMET AND DELI CORP","Yes","Yes","Cigar(s)","Other",NA,"12/11/2019","01/09/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","1662 BOSTON RD, BRONX, NY, 10460",2020-01-09,"2020"
"437","STAY FRESH DELI & GRILL","Yes","Yes","Cigar(s)","Other",NA,"12/13/2019","01/09/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","1715 ST JOHNS PL, BROOKLYN, NY, 11233",2020-01-09,"2020"
"438","SMOKE STAX","Yes","Yes","E-cigarettes & Accessories","JUUL","Menthol","12/12/2019","01/09/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","6607 18TH AVENUE, BROOKLYN, NY, 11204",2020-01-09,"2020"
"439","EXPRESS CONVENIENCE STORE","Yes","Yes","Cigar(s)","Other",NA,"11/30/2019","01/02/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","527A MALCOLM X BOULEVARD, NEW YORK, NY, 10037",2020-01-02,"2020"
"440","JESSICA DELI GROCERY","Yes","Yes","Cigar(s)","Other",NA,"12/04/2019","01/02/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","418 JEFFERSON AVENUE, BROOKLYN, NY, 11221",2020-01-02,"2020"
"441","LUCKY SAM DELI & GRILL","Yes","Yes","Cigar(s)","Other",NA,"12/04/2019","01/02/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","493 TOMPKINS AVE, BROOKLYN, NY, 11216",2020-01-02,"2020"
"442","JEFFERSON DELI GROCERY","Yes","Yes","Cigar(s)","Other",NA,"12/04/2019","01/02/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","567 JEFFERSON AVENUE, BROOKLYN, NY, 11221",2020-01-02,"2020"
"443","PRESTIGE GOURMET DELI","Yes","Yes","Cigar(s)","Other",NA,"12/04/2019","01/02/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","362 MARCUS GARVEY BOULEVARD, BROOKLYN, NY, 11221",2020-01-02,"2020"
"444","UPTOWN GOURMET","Yes","Yes","Cigar(s)","Other",NA,"11/30/2019","01/02/2020","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","304 MALCOLM X BOULEVARD, NEW YORK, NY, 10027",2020-01-02,"2020"
"445","SWEENEY'S DELI","Yes","Yes","Cigar(s)","Black & Mild",NA,"See Complaint","12/31/2019","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2019-H-6034"")","See Complaint","3136 MILES AVENUE, BRONX, NY, 10465",2019-12-31,"2019"
"446","ZN DELI GROCERY","Yes","Yes","Cigarettes in a package","Newport",NA,"11/24/2019","12/19/2019","Warning Letter Issued",NA,"1140.14(a)(1)-Sale to a minor","230 4TH AVE, BROOKLYN, NY, 11215",2019-12-19,"2019"
"447","KINGS DELI & GROCERY","Yes","Yes","Cigar(s)","Other",NA,"11/19/2019","12/19/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","2105 AVENUE Z, BROOKLYN, NY, 11235",2019-12-19,"2019"
"448","MARB DELI AND GROCERY","Yes","Yes","Cigar(s)","Other",NA,"11/25/2019","12/19/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","11233 GUY R BREWER BOULEVARD 11, JAMAICA, NY, 11433",2019-12-19,"2019"
"449","7-ELEVEN 32126","Yes","Yes","Cigar(s)","Black & Mild",NA,"11/19/2019","12/12/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","3768 NOSTRAND AVE, BROOKLYN, NY, 11235",2019-12-12,"2019"
"450","97 TOBACCO SHOP INC","Yes","Yes","Cigar(s)","Other",NA,"11/16/2019","12/12/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","2578 BROADWAY, NEW YORK, NY, 10025",2019-12-12,"2019"
"451","PITKIN GROCERY","Yes","Yes","Cigar(s)","Other",NA,"11/13/2019","12/12/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","2718 PITKIN AVENUE, BROOKLYN, NY, 11208",2019-12-12,"2019"
"452","S AND A EXPRESS CANDY AND GROCERY CORP.","Yes","Yes","Cigar(s)","Black & Mild",NA,"See Complaint","12/11/2019","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2019-H-5729"")","See Complaint","1633 LEXINGTON AVENUE, NEW YORK, NY, 10029",2019-12-11,"2019"
"453","RAM'S DELI AND GRILL","Yes","Yes","Cigar(s)","Other",NA,"10/30/2019","12/05/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","203-01 HOLLIS AVENUE, SAINT ALBANS, NY, 11412",2019-12-05,"2019"
"454","GARDEN GOURMET DELI","Yes","Yes","Cigar(s)","Other",NA,"11/11/2019","12/05/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","627 EAST TREMONT AVENUE, BRONX, NY, 10457",2019-12-05,"2019"
"455","ANIM GROCERY STORE","Yes","Yes","Cigar(s)","Other",NA,"10/30/2019","11/27/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","115-05 SUTPHIN BOULEVARD, JAMAICA, NY, 11434",2019-11-27,"2019"
"456","ASIA DELI AND GRILL","Yes","Yes","Cigar(s)","Other",NA,"10/30/2019","11/27/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","21701 JAMAICA AVE, QUEENS VILLAGE, NY, 11428",2019-11-27,"2019"
"457","MANSOOR DELI GROCERY","Yes","Yes","Cigar(s)","Other",NA,"10/30/2019","11/27/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","20519 HOLLIS AVENUE, ST ALBANS, NY, 11412",2019-11-27,"2019"
"458","FAMILY DELI GROCERY INC.","Yes","Yes","Cigar(s)","Other",NA,"10/30/2019","11/27/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","19821 HOLLIS AVENUE, SAINT ALBANS, NY, 11412",2019-11-27,"2019"
"459","GUARDIAN VAPE SHOP","Yes","Yes","E-cigarettes & Accessories","JUUL","Menthol","11/03/2019","11/27/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","3615 E TREMONT AVE, BRONX, NY, 10465",2019-11-27,"2019"
"460","NEW BM DELI GROCERY","Yes","Yes","Cigar(s)","Other",NA,"10/27/2019","11/21/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","978 LONGWOOD AVE, BRONX, NY, 10459",2019-11-21,"2019"
"461","DAY AND NIGHT DELI AND GROCERY","Yes","Yes","Cigar(s)","Other",NA,"10/27/2019","11/21/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","1017 LEGGETT AVENUE, BRONX, NY, 10455",2019-11-21,"2019"
"462","N.Y. GRILL AND DELI","Yes","Yes","Cigar(s)","Other",NA,"10/23/2019","11/21/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","639 SOUTHERN BOULEVARD, BRONX, NY, 10455",2019-11-21,"2019"
"463","NAS GROCERY AND DELI","Yes","Yes","Cigar(s)","Black & Mild",NA,"10/23/2019","11/21/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","512A WILLIS AVENUE, BRONX, NY, 10455",2019-11-21,"2019"
"464","FRIENDS DELI & GRILL","Yes","Yes","Cigar(s)","Other",NA,"10/27/2019","11/21/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","585 SOUTHERN BLVD, BRONX, NY, 10455",2019-11-21,"2019"
"465","PRINCE GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"See Complaint","11/20/2019","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2019-H-5371"")","See Complaint","131 WEST KINGSBRIDGE ROAD, BRONX, NY, 10468",2019-11-20,"2019"
"466","NAGI DELI / 99 ESQUINA DELI AND GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"See Complaint","11/18/2019","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2019-H-5381"")","See Complaint","99 EAST 198TH STREET, BRONX, NY, 10468",2019-11-18,"2019"
"467","T. MCALLISTER NEWSSTAND","Yes","Yes","Cigar(s)","Other",NA,"10/04/2019","11/07/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","12008 QUEENS BOULEVARD, KEW GARDENS, NY, 11415",2019-11-07,"2019"
"468","MOBIL / SNACK SHOP","Yes","Yes","E-cigarettes & Accessories","JUUL","Menthol","10/17/2019","11/07/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","14710 NORTHERN BOULEVARD, FLUSHING, NY, 11354",2019-11-07,"2019"
"469","CIRCLE 5 DELI","Yes","Yes","Cigar(s)","Other",NA,"10/02/2019","10/31/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","13440 GUY R BREWER BLVD, JAMAICA, NY, 11434",2019-10-31,"2019"
"470","FLATLANDS DELI","Yes","Yes","Cigar(s)","Other",NA,"10/08/2019","10/31/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","911 EAST 107TH STREET, BROOKLYN, NY, 11236",2019-10-31,"2019"
"471","A & Y FAMILY INC.","Yes","Yes","Cigar(s)","Other",NA,"10/08/2019","10/31/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","1431A ROCKAWAY PARKWAY, BROOKLYN, NY, 11236",2019-10-31,"2019"
"472","CANDY AND TABACCO","Yes","Yes","Cigar(s)","Black & Mild",NA,"See Complaint","10/30/2019","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2019-H-4988"")","See Complaint","2233 GRAND CONCOURSE, BRONX, NY, 10453",2019-10-30,"2019"
"473","73 H AND N GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"See Complaint","10/28/2019","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2019-H-4931"")","See Complaint","73 EAST KINGSBRIDGE ROAD, BRONX, NY, 10468",2019-10-28,"2019"
"474","IBRAHIM ANIAS KABRI DELI GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"08/14/2019","10/24/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","4049 WHITE PLAINS ROAD, BRONX, NY, 10466",2019-10-24,"2019"
"475","B AND M SPANISH AMERICAN AND WEST INDIAN GROCERY","Yes","Yes","Cigar(s)","Other",NA,"09/06/2019","09/26/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","12709 101ST AVENUE, SOUTH RICHMOND HILL, NY, 11419",2019-09-26,"2019"
"476","BEST SMOKE SHOP","Yes","Yes","Cigar(s)","Black & Mild",NA,"09/07/2019","09/26/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","585 EAST 168TH STREET, BRONX, NY, 10456",2019-09-26,"2019"
"477","165 WOODYCREST GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"08/22/2019","09/12/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","82 W 165TH ST, BRONX, NY, 10452",2019-09-12,"2019"
"478","277 DELI","Yes","Yes","Cigar(s)","Other",NA,"08/23/2019","09/12/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","11802 JAMAICA AVENUE, RICHMOND HILL, NY, 11418",2019-09-12,"2019"
"479","CANJIE AFTER 6 BODEGA","Yes","Yes","Cigar(s)","Other",NA,"08/02/2019","09/12/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","12419 95TH AVE, JAMAICA, NY, 11419",2019-09-12,"2019"
"480","ANA DELI GROCERY CORP.","Yes","Yes","Cigar(s)","Black & Mild",NA,"08/22/2019","09/12/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","1011A OGDEN AVENUE, BRONX, NY, 10452",2019-09-12,"2019"
"481","AZAAL GROCERY CORP.","Yes","Yes","Cigar(s)","Black & Mild",NA,"08/18/2019","09/12/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","1053 OGDEN AVE, BRONX, NY, 10452",2019-09-12,"2019"
"482","UPTOWN CANDY STORE","Yes","Yes","Cigar(s)","Black & Mild",NA,"See Complaint","09/09/2019","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2019-H-4142"")","See Complaint","4700B WHITE PLAINS ROAD, BRONX, NY, 10470",2019-09-09,"2019"
"483","ABB GANNY GROCERY AND DELI","Yes","Yes","Cigar(s)","Black & Mild",NA,"See Complaint","09/05/2019","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2019-H-4112"")","See Complaint","1526 MERMAID AVENUE, BROOKLYN, NY, 11224",2019-09-05,"2019"
"484","BRADDOCK DELI & GROCERY CORP.","Yes","Yes","Cigar(s)","Other",NA,"08/08/2019","09/05/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","22215 BRADDOCK AVE, QUEENS VILLAGE, NY, 11428",2019-09-05,"2019"
"485","GOOD GUYS GROCERY AND DELI","Yes","Yes","Cigar(s)","Other",NA,"08/09/2019","09/05/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","10248 JAMAICA AVENUE, RICHMOND HILL, NY, 11418",2019-09-05,"2019"
"486","MAKEY DELI GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"08/09/2019","09/05/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","2704 3RD AVENUE, SUITE 1, BRONX, NY, 10454",2019-09-05,"2019"
"487","HOLLISWOODS DELI","Yes","Yes","Cigar(s)","Other",NA,"08/08/2019","09/05/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","19702 HILLSIDE AVENUE, HOLLIS, NY, 11423",2019-09-05,"2019"
"488","STAR DELI & GRILL","Yes","Yes","Cigar(s)","Other",NA,"08/10/2019","09/05/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","943 BROADWAY, BROOKLYN, NY, 11206",2019-09-05,"2019"
"489","91ST BODEGA DELI GROCERY","Yes","Yes","Cigar(s)","Other",NA,"07/31/2019","08/29/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","9102 97TH AVENUE, OZONE PARK, NY, 11416",2019-08-29,"2019"
"490","HEAVEN DELI AND GROCERY","Yes","Yes","Cigar(s)","Other",NA,"08/02/2019","08/29/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","10220 101ST AVENUE, OZONE PARK, NY, 11416",2019-08-29,"2019"
"491","5 ELEVEN CONVENIENCE DELI","Yes","Yes","Cigar(s)","Other",NA,"07/25/2019","08/22/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","13502 LEFFERTS BLVD, SOUTH OZONE PARK, NY, 11420",2019-08-22,"2019"
"492","STAR DELI AND GRILL","Yes","Yes","Cigar(s)","Other",NA,"07/25/2019","08/22/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","106-32 SUTPHIN BOULEVARD, JAMAICA, NY, 11435",2019-08-22,"2019"
"493","JESUP GOURMET DELI GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"See Complaint","08/16/2019","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2019-H-3853"")","See Complaint","1348 EDWARD L. GRANT HIGHWAY, BRONX, NY, 10452",2019-08-16,"2019"
"494","101 EXPRESS DELI GROCERY","Yes","Yes","Cigar(s)","Other",NA,"07/19/2019","08/15/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","8319 101ST AVE, OZONE PARK, NY, 11416",2019-08-15,"2019"
"495","5 STAR DELI GROCERY","Yes","Yes","Cigar(s)","Other",NA,"07/19/2019","08/15/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","18812 LIBERTY AVENUE, SAINT ALBANS, NY, 11412",2019-08-15,"2019"
"496","SUN SHINE II DELI AND GROCERY","Yes","Yes","Cigar(s)","Other",NA,"07/19/2019","08/15/2019","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","13528 ROCKAWAY BOULEVARD, SOUTH OZONE PARK, NY, 11420",2019-08-15,"2019"
