Compliance Check Inspections of Tobacco Product Retailers Through 6/30/22 - Search Results

You searched for:
State is NY
Decision Date: 01/01/2000 through 07/01/2022 
Minor Involved: Yes
Sale to Minor: Yes

Retailer Name,Street Address,City,State,Zip,Minor Involved,Sale to Minor,Product Type,Brand,Flavor,Inspection Date,Decision Date,Inspection Result,Link,Charges
"OSCA DELI & GAS LLC","335 OSCAWANA LAKE ROAD","PUTNAM VALLEY","NY",10579,Yes,Yes,ENDS / E-liquid,Logic,Tobacco,01/02/2022,02/03/2022,Warning Letter Issued,,Charges not yet available
"PONCHOS GOURMET DELI GROCERY.","1424 SHEEPSHEAD BAY ROAD","BROOKLYN","NY",11235,Yes,Yes,Cigar(s),Other,Russian Cream,12/28/2021,02/03/2022,Warning Letter Issued,,Charges not yet available
"UNITED EXPRESS DELI AND GRILL","237 AVENUE X","BROOKLYN","NY",11223,Yes,Yes,Cigar(s),Other,,12/29/2021,02/03/2022,Warning Letter Issued,,Charges not yet available
"QUICK DELI AND GRILL","246 AVENUE U","BROOKLYN","NY",11223,Yes,Yes,Cigar(s),Other,,12/28/2021,02/03/2022,Warning Letter Issued,,Charges not yet available
"U FINE GROCERY INC.","87 AVENUE U","BROOKLYN","NY",11223,Yes,Yes,Cigar(s),Other,,12/28/2021,02/03/2022,Warning Letter Issued,,Charges not yet available
"BASSAM GROCERY / 2ND AVE DELI GROCERY","2371 2ND AVE","NEW YORK","NY",10035,Yes,Yes,Cigar(s),Other,,12/22/2021,02/01/2022,Warning Letter Issued,,Charges not yet available
"ANGELO'S DELI","54 VAN CORTLANDT PARK","YONKERS","NY",10701,Yes,Yes,Cigar(s),Black & Mild,,12/28/2021,02/01/2022,Warning Letter Issued,,Charges not yet available
"BANDERAS FOOD CORP","388 CENTRAL AVE","BROOKLYN","NY",11221,Yes,Yes,Cigar(s),Other,,12/23/2021,02/01/2022,Warning Letter Issued,,Charges not yet available
"BP / TO GO","610 CENTRAL PARK AVENUE","SCARSDALE","NY",10583,Yes,Yes,Cigar(s),Black & Mild,,12/28/2021,02/01/2022,Warning Letter Issued,,Charges not yet available
"CHAN DELI AND GRILL","161 BUFFALO AVENUE","BROOKLYN","NY",11213,Yes,Yes,Cigar(s),Other,,12/23/2021,02/01/2022,Warning Letter Issued,,Charges not yet available
"OPTIMO CIGARS LUNCHEONETTE","160 LOCKWOOD AVE","YONKERS","NY",10701,Yes,Yes,Cigar(s),Other,Honey Berry,12/28/2021,02/01/2022,Warning Letter Issued,,Charges not yet available
"A AND Y GRILL AND CONVENIENCE CORP.","691 WOODFIELD ROAD","WEST HEMPSTEAD","NY",11552,Yes,Yes,Cigar(s),Other,Russian Cream,12/28/2021,02/01/2022,Warning Letter Issued,,Charges not yet available
"DOGWOOD FARMS CONVENIENCE STORE","370 DOGWOOD AVE","FRANKLIN SQUARE","NY",11010,Yes,Yes,Cigar(s),Other,,12/28/2021,02/01/2022,Warning Letter Issued,,Charges not yet available
"DAD'S DELI","70 LORRAINE STREET","BROOKLYN","NY",11231,Yes,Yes,Cigar(s),Other,,12/23/2021,02/01/2022,Warning Letter Issued,,Charges not yet available
"GUZMAN DELI GROCERY","177 WAVERLY ST","YONKERS","NY",10701,Yes,Yes,Cigar(s),Black & Mild,,12/28/2021,02/01/2022,Warning Letter Issued,,Charges not yet available
"STAR DELI AND GRILL","397 AVENUE X","BROOKLYN","NY",11223,Yes,Yes,Cigar(s),Other,,12/29/2021,02/01/2022,Warning Letter Issued,,Charges not yet available
"PLEASANT FINEST DELI","375 PLEASANT AVENUE","NEW YORK","NY",10035,Yes,Yes,Single cigarette,N/A,,12/22/2021,02/01/2022,Warning Letter Issued,,Charges not yet available
"FRESH DELI AND GROCERY","2272 BATH AVENUE","BROOKLYN","NY",11214,Yes,Yes,Cigar(s),Other,,12/28/2021,02/01/2022,Warning Letter Issued,,Charges not yet available
"PALMER RD LIZZIE'S / LIZZIE'S SUPERMARKET","468 PALMER RD","YONKERS","NY",10701,Yes,Yes,ENDS / E-liquid,Logic,Tobacco,12/28/2021,02/01/2022,Warning Letter Issued,,Charges not yet available
"125TH FOOD INC. / DELI","2425 2ND AVENUE","NEW YORK","NY",10035,Yes,Yes,Cigar(s),Other,,12/22/2021,01/27/2022,Warning Letter Issued,,Charges not yet available
"1663 PARK AVENUE MINI MARKET","1663 PARK AVENUE","NEW YORK","NY",10035,Yes,Yes,Cigar(s),Other,,12/22/2021,01/27/2022,Warning Letter Issued,,Charges not yet available
"2258 FOOD CORP.","2258 3RD AVENUE","NEW YORK","NY",10035,Yes,Yes,Cigar(s),Other,Honey Bourbon,12/22/2021,01/27/2022,Warning Letter Issued,,Charges not yet available
"T.S.M. 2ND AVENUE GOURMET","248 EAST 119TH STREET","NEW YORK","NY",10035,Yes,Yes,Cigar(s),Other,,12/22/2021,01/27/2022,Warning Letter Issued,,Charges not yet available
"315 FINEST FOOD","315 PLEASANT AVENUE","NEW YORK","NY",10035,Yes,Yes,Cigar(s),Other,,12/22/2021,01/27/2022,Warning Letter Issued,,Charges not yet available
"HOOKAH CITY","2700 MIDDLE COUNTRY ROAD","LAKE GROVE","NY",11755,Yes,Yes,ENDS / E-liquid,JUUL,Menthol,12/21/2021,01/27/2022,Warning Letter Issued,,Charges not yet available
"KED CONVENIENCE","2409 2ND AVENUE","NEW YORK","NY",10035,Yes,Yes,ENDS / E-liquid,Other,Cranberry Lemonade Ice,12/22/2021,01/27/2022,Warning Letter Issued,,Charges not yet available
"NATURAL FOOD DELI","2181 3RD AVENUE","NEW YORK","NY",10035,Yes,Yes,Cigar(s),Other,,12/22/2021,01/27/2022,Warning Letter Issued,,Charges not yet available
"CUMBERLAND FARMS 1527","77 SOUTH CENTRAL AVENUE","MECHANICVILLE","NY",12118,Yes,Yes,ENDS / E-liquid,JUUL,Tobacco,12/19/2021,01/25/2022,Warning Letter Issued,,Charges not yet available
"CA SMOKE SHOP","1602 ROUTE 9","CLIFTON PARK","NY",12065,Yes,Yes,ENDS / E-liquid,Other,Tobacco Red,12/19/2021,01/25/2022,Warning Letter Issued,,Charges not yet available
"SPEEDWAY","1583 ROUTE 9","CLIFTON PARK","NY",12065,Yes,Yes,ENDS / E-liquid,JUUL,Virginia Tobacco,12/19/2021,01/25/2022,Warning Letter Issued,,Charges not yet available
"1690 FLATBUSH FOOD CORP.","1690 FLATBUSH AVENUE","BROOKLYN","NY",11210,Yes,Yes,Cigar(s),Other,,12/14/2021,01/20/2022,Warning Letter Issued,,Charges not yet available
"326 MUNCHIES DELI & GROCERY","326 ONTARIO ST","COHOES","NY",12047,Yes,Yes,ENDS / E-liquid,Other,Mint,12/15/2021,01/20/2022,Warning Letter Issued,,Charges not yet available
"PEACE AND LOVE CONVENIENCE","242 UTICA AVENUE","BROOKLYN","NY",11213,Yes,Yes,ENDS / E-liquid,Other,Pina Colada,12/14/2021,01/20/2022,Warning Letter Issued,,Charges not yet available
"H &H DELI CORP DELI & TOBACCO SHOP","216 UTICA AVE","BROOKLYN","NY",11213,Yes,Yes,Cigar(s),Other,,12/14/2021,01/20/2022,Warning Letter Issued,,Charges not yet available
"DELI AND GRILL","1891 FULTON STREET","BROOKLYN","NY",11233,Yes,Yes,Cigar(s),Other,Sweet Cigar,12/14/2021,01/20/2022,Warning Letter Issued,,Charges not yet available
"W&FAM DELI & GROCERY","1585 FLATBUSH AVE","BROOKLYN","NY",11210,Yes,Yes,Cigar(s),Other,,12/14/2021,01/20/2022,Warning Letter Issued,,Charges not yet available
"GREEN SMOKE SHOP","1098 LIBERTY AVENUE","BROOKLYN","NY",11208,Yes,Yes,ENDS / E-liquid,Other,Pink Lemonade,12/14/2021,01/20/2022,Warning Letter Issued,,Charges not yet available
"TOBACCO ISLAND","169 REMSEN STREET","COHOES","NY",12047,Yes,Yes,Cigarettes in a package,Marlboro,,12/15/2021,01/20/2022,Warning Letter Issued,,Charges not yet available
"NEWSSTAND","LIRR BABYLON STATI","BABYLON","NY",11702,Yes,Yes,ENDS / E-liquid,JUUL,Virginia Tobacco,12/08/2021,01/20/2022,Warning Letter Issued,,Charges not yet available
"50 PERCENT OFF CARDS","200 MONTAUK HIGHWAY","LINDENHURST","NY",11757,Yes,Yes,ENDS / E-liquid,JUUL,Tobacco,12/08/2021,01/18/2022,Warning Letter Issued,,Charges not yet available
"QUINS DELI","1114 ALBANY STREET","SCHENECTADY","NY",12304,Yes,Yes,ENDS / E-liquid,Other,Banana Ice,12/12/2021,01/18/2022,Warning Letter Issued,,Charges not yet available
"SUNOCO / FOOD MART","1000 CURRY ROAD","SCHENECTADY","NY",12306,Yes,Yes,ENDS / E-liquid,Other,Blueberry Raspberry,12/12/2021,01/18/2022,Warning Letter Issued,,Charges not yet available
"UNITY MARKET","2337 VAN VRANKEN AVENUE","SCHENECTADY","NY",12308,Yes,Yes,ENDS / E-liquid,Other,Aloe Grape,12/12/2021,01/18/2022,Warning Letter Issued,,Charges not yet available
"YEMVILL MINI-MART","66 3RD STREET","WATERFORD","NY",12188,Yes,Yes,ENDS / E-liquid,Other,Robust Tobacco,12/12/2021,01/18/2022,Warning Letter Issued,,Charges not yet available
"USA","225 HIGBIE LANE","WEST ISLIP","NY",11795,Yes,Yes,ENDS / E-liquid,JUUL,Tobacco,12/08/2021,01/13/2022,Warning Letter Issued,,Charges not yet available
"HIPSTER DELI GROCERY 1 CORP","168 7TH AVENUE","BROOKLYN","NY",11215,Yes,Yes,Cigar(s),Other,Sweet Aromatic,12/04/2021,01/11/2022,Warning Letter Issued,,Charges not yet available
"TOPS MARKET #113","425 NIAGARA STREET","BUFFALO","NY",14201,Yes,Yes,Cigarettes in a package,Newport,Menthol,12/05/2021,01/11/2022,Warning Letter Issued,,Charges not yet available
"STOP ONE AT 39TH","3913 9TH AVENUE","BROOKLYN","NY",11232,Yes,Yes,ENDS / E-liquid,Other,,12/04/2021,01/11/2022,Warning Letter Issued,,Charges not yet available
"3RD STREET CONVENIENCE STORE","76 EAST 3RD STREET","MT VERNON","NY",10550,Yes,Yes,Cigar(s),Other,Honey Bourbon,12/05/2021,01/11/2022,Warning Letter Issued,,Charges not yet available
"4 STAR GROCERY","273 4TH STREET","TROY","NY",12180,Yes,Yes,ENDS / E-liquid,Other,Blue Razz Ice,12/05/2021,01/11/2022,Warning Letter Issued,,Charges not yet available
"44 DELI AND RESTAURANT CORP.","44 4TH AVENUE","BROOKLYN","NY",11217,Yes,Yes,Cigar(s),Other,,12/04/2021,01/11/2022,Warning Letter Issued,,Charges not yet available
"7TH STREET DELI AND GRILL","402 5TH AVENUE","BROOKLYN","NY",11215,Yes,Yes,Cigar(s),Other,Sweet Aromatic,12/04/2021,01/11/2022,Warning Letter Issued,,Charges not yet available
"909 FULTON GROCERY & DELI","909 FULTON STREET","BROOKLYN","NY",11238,Yes,Yes,Cigar(s),Other,Sweet Aromatic,12/04/2021,01/11/2022,Warning Letter Issued,,Charges not yet available
"BUFFALO TOBACCO AND DELI","1390 JEFFERSON AVENUE","BUFFALO","NY",14208,Yes,Yes,ENDS / E-liquid,Other,Cherry Peach Lemonade,12/05/2021,01/11/2022,Warning Letter Issued,,Charges not yet available
"CARDS AND GIFTS","656 WELLWOOD AVE","LINDENHURST","NY",11757,Yes,Yes,ENDS / E-liquid,JUUL,Tobacco,12/01/2021,01/11/2022,Warning Letter Issued,,Charges not yet available
"CONOCO","2 WEST SANDFORD BOULEVARD","MOUNT VERNON","NY",10550,Yes,Yes,Cigar(s),Black & Mild,Wine,12/05/2021,01/11/2022,Warning Letter Issued,,Charges not yet available
"HABEBE'S CONVENIENCE","19 WEST PROSPECT AVENUE","MT VERNON","NY",10550,Yes,Yes,Cigar(s),Other,Honey Berry,12/05/2021,01/11/2022,Warning Letter Issued,,Charges not yet available
"THE CORNER STORE","380 CONNECTICUT STREET","BUFFALO","NY",14213,Yes,Yes,Cigarettes in a package,Newport,Menthol,12/05/2021,01/11/2022,Warning Letter Issued,,Charges not yet available
"SINCLAIR/ DINO MART","415 EAST SANDFORD BOULEVARD","MOUNT VERNON","NY",10550,Yes,Yes,Cigar(s),Other,Honey Berry,12/05/2021,01/11/2022,Warning Letter Issued,,Charges not yet available
"MOBIL/MOBIL MART","2090 BRONXDALE AVE","BRONX","NY",10462,Yes,Yes,ENDS / E-liquid,Logic,Tobacco,11/30/2021,01/11/2022,Warning Letter Issued,,Charges not yet available
"AMAA DELI GROCERY","1591 WATSON AVENUE","BRONX","NY",10472,Yes,Yes,Cigar(s),Other,Russian Cream,11/30/2021,01/06/2022,Warning Letter Issued,,Charges not yet available
"AMERICAN GOURMET DELI","1500 CASTLE HILL AVE","BRONX","NY",10462,Yes,Yes,Cigar(s),Other,,11/30/2021,01/06/2022,Warning Letter Issued,,Charges not yet available
"LOS BANCOS DELI GROCERY","831 DAWSON STREET","BRONX","NY",10459,Yes,Yes,Cigar(s),Other,,11/30/2021,01/06/2022,Warning Letter Issued,,Charges not yet available
"C DELI AND JUICE BAR","145 COURT STREET, SUITE A","BROOKLYN","NY",11201,Yes,Yes,ENDS / E-liquid,Other,Orange Soda,11/28/2021,01/06/2022,Warning Letter Issued,,Charges not yet available
"GREENE BITES","116 DEKALB AVENUE","BROOKLYN","NY",11201,Yes,Yes,Cigar(s),Other,,11/28/2021,01/06/2022,Warning Letter Issued,,Charges not yet available
"THREE STARS CANDY STORE","1673 METROPOLITAN AVENUE","BRONX","NY",10462,Yes,Yes,Cigar(s),Other,,11/30/2021,01/06/2022,Warning Letter Issued,,Charges not yet available
"CLINTON CONVENIENCE AND SMOKE SHOP","200 CLINTON STREET","BROOKLY","NY",11201,Yes,Yes,ENDS / E-liquid,Other,Strawberry Watermelon Ice,11/28/2021,01/06/2022,Warning Letter Issued,,Charges not yet available
"MR DELI AND CONVENIENCE INC","1991 BRONXDALE AVENUE","BRONX","NY",10462,Yes,Yes,Cigar(s),Other,,11/30/2021,01/06/2022,Warning Letter Issued,,Charges not yet available
"REEMYS DELI AND CONVENIENCE","1669 METROPOLITAN AVENUE","BRONX","NY",10462,Yes,Yes,Cigar(s),Other,,11/30/2021,01/06/2022,Warning Letter Issued,,Charges not yet available
"HEIGHTS DELI AND CONVENIENCE","89 MONTAGUE STREET","BROOKLYN","NY",11201,Yes,Yes,ENDS / E-liquid,Other,,11/28/2021,01/06/2022,Warning Letter Issued,,Charges not yet available
"SMITH CONVENIENCE","98 SMITH STREET","BROOKLYN","NY",11201,Yes,Yes,ENDS / E-liquid,Other,Cheesecake,11/28/2021,01/06/2022,Warning Letter Issued,,Charges not yet available
"WEBSTER GROCERY AND DELI CORP","393 EAST 168TH STREET","BRONX","NY",10456,Yes,Yes,Cigar(s),Other,Sweet Aromatic,11/30/2021,01/06/2022,Warning Letter Issued,,Charges not yet available
"FINEST DELI AND SMOKE SHOP","719 FULTON STREET, SUITE 1","BROOKLYN","NY",11217,Yes,Yes,Cigar(s),Other,,11/28/2021,01/06/2022,Warning Letter Issued,,Charges not yet available
"SMITH GOURMET DELI","126 SMITH STREET","BROOKLYN","NY",11201,Yes,Yes,Cigar(s),Other,,11/28/2021,01/06/2022,Warning Letter Issued,,Charges not yet available
"ZIL-ZAL GOURMET DELI","1516 METROPOLITAN AVENUE","BRONX","NY",10462,Yes,Yes,Cigar(s),Other,,11/30/2021,01/06/2022,Warning Letter Issued,,Charges not yet available
"GONZALEZ DISCOUNT","62 METROPOLITAN OVAL","BRONX","NY",10462,Yes,Yes,ENDS / E-liquid,Other,Strawberry Wafer Biscuit,11/30/2021,01/06/2022,Warning Letter Issued,,Charges not yet available
"USA GAS","641 WELLWOOD AVE","LINDENHURST","NY",11757,Yes,Yes,ENDS / E-liquid,JUUL,Menthol,12/01/2021,01/06/2022,Warning Letter Issued,,Charges not yet available
"MOBIL","296 ROUTE 17A","GOSHEN","NY",10924,Yes,Yes,Cigar(s),Black & Mild,Wine,11/20/2021,01/06/2022,Warning Letter Issued,,Charges not yet available
"SUNRISE OPTIMO","304 COURT STREET","BROOKLYN","NY",11231,Yes,Yes,Cigar(s),Other,,11/28/2021,01/06/2022,Warning Letter Issued,,Charges not yet available
"793 WYCKOFF DELI CORP.","793 WYCKOFF AVE","RIDGEWOOD","NY",11385,Yes,Yes,Cigar(s),Other,,11/28/2021,01/04/2022,Warning Letter Issued,,Charges not yet available
"MARIA'S DELI","4011 28TH AVE","ASTORIA","NY",11103,Yes,Yes,ENDS / E-liquid,JUUL,Virginia Tobacco,11/28/2021,01/04/2022,Warning Letter Issued,,Charges not yet available
"WYCKOFF DELI","1034 WYCKOFF AVE","RIDGEWOOD","NY",11385,Yes,Yes,Cigar(s),Other,,11/28/2021,01/04/2022,Warning Letter Issued,,Charges not yet available
"OZONE SMOKE SHOP","137-20 CROSSBAY BOULEVARD","OZONE PARK","NY",11417,Yes,Yes,Cigar(s),Other,,11/21/2021,01/04/2022,Warning Letter Issued,,Charges not yet available
"DOLLAR GENERAL STORE # 08559","801 BLACK RIVER BLVD N","ROME","NY",13440,Yes,Yes,Cigarettes in a package,Newport,Menthol,11/19/2021,12/30/2021,Warning Letter Issued,,Charges not yet available
"894 DELI AND GRILL","894 DELI AND GRILL","BROOKLYN","NY",11206,Yes,Yes,Cigar(s),Other,Honey Bourbon,11/19/2021,12/30/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"EARLY BIRD SMOKE SHOP","91 NORMAN AVE","BROOKLYN","NY",11222,Yes,Yes,ENDS / E-liquid,Other,Watermelon Ice,11/19/2021,12/30/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"BP / TO GO","415 SOUTH FRANKLIN STREET","HEMPSTEAD","NY",11550,Yes,Yes,Cigar(s),Other,,11/19/2021,12/30/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"CLAY DELI","1115 MANHATTAN AVENUE","BROOKLYN","NY",11222,Yes,Yes,Cigar(s),Other,,11/19/2021,12/30/2021,Warning Letter Issued,,Charges not yet available
"HIGH CLASS DELI","1173 BROADWAY","BROOKLYN","NY",11221,Yes,Yes,Cigar(s),Other,Sweet Aromatic,11/19/2021,12/30/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"EVER SHINE CONVENIENCE DISCOUNT AND VARIETY","13521 LEFFERTS BOULEBARD","SOUTH OZONE PARK","NY",11420,Yes,Yes,Cigar(s),Other,,11/21/2021,12/30/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"SUBWAY STOP CONVENIENCE STORE.","7 COLEMAN SQUARE","HOWARD BEACH","NY",11414,Yes,Yes,Cigar(s),Other,,11/21/2021,12/30/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"ROME DAIRY MARKET LLC","603 N JAMES ST","ROME","NY",13440,Yes,Yes,ENDS / E-liquid,Other,Minty,11/19/2021,12/30/2021,Warning Letter Issued,,Charges not yet available
"LAKES DELI","2092 ROUTE 302","CIRCLEVILLE","NY",10919,Yes,Yes,Cigar(s),Black & Mild,Wine,11/20/2021,12/30/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"WEST DOMINICK MARKET","418 WEST DOMINICK STREET","ROME","NY",13440,Yes,Yes,ENDS / E-liquid,JUUL,Menthol,11/19/2021,12/30/2021,Warning Letter Issued,,Charges not yet available
"GREENPOINT SMOKE SHOP","151A NASSAU AVE","BROOKLYN","NY",11222,Yes,Yes,ENDS / E-liquid,Other,Strawberry Milkshake,11/19/2021,12/30/2021,Warning Letter Issued,,Charges not yet available
"MJB SERVICE STATION / GULF","321 MCGUINNESS BOULEVARD","BROOKLYN","NY",11222,Yes,Yes,Cigarettes in a package,Newport,Menthol,11/19/2021,12/30/2021,Warning Letter Issued,,1140.14(a)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"L.A. PIZZA SMOKE SHOP","887 MANHATTAN AVENUE","BROOKLYN","NY",11222,Yes,Yes,Cigar(s),Other,Honey,11/19/2021,12/30/2021,Warning Letter Issued,,Charges not yet available
"PARKVIEW MARKET","101 BEDFORD AVENUE","BROOKLYN","NY",11211,Yes,Yes,Cigarettes in a package,Newport,Menthol,11/19/2021,12/30/2021,Warning Letter Issued,,Charges not yet available
"RAGTIME QUICK STOP","15752 CROSSBAY BOULEVARD","HOWARD BEACH","NY",11414,Yes,Yes,Cigar(s),Other,,11/21/2021,12/30/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"SMOKER'S WORLD","167 BEDFORD AVENUE","BROOKLYN","NY",11211,Yes,Yes,Cigar(s),Other,Honey Berry,11/19/2021,12/30/2021,Warning Letter Issued,,Charges not yet available
"407 CONVENIENCE","407 AMSTERDAM AVENUE FRONT 1","NEW YORK","NY",10024,Yes,Yes,ENDS / E-liquid,Other,Pink Lemonade,11/13/2021,12/28/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"ABN STOP ONE GROCERY INC.","14345 SPRINGFIELD BOULEVARD","SPRINGFIELD GARDEN","NY",11413,Yes,Yes,Cigar(s),Other,,11/17/2021,12/28/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"BARCODE SMOKE SHOP","39 ROUTE 25A","MOUNT SINAI","NY",11766,Yes,Yes,ENDS / E-liquid,JUUL,Menthol,11/18/2021,12/28/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"BP","240 WEST MAIN STREET","SMITHTOWN","NY",11787,Yes,Yes,ENDS / E-liquid,JUUL,Tobacco,11/18/2021,12/28/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"BUFFALO EXPRESS MART","983 TONAWANDA STREET","BUFFALO","NY",14207,Yes,Yes,Cigarettes in a package,Newport,Menthol,11/17/2021,12/28/2021,Warning Letter Issued,,1140.14(a)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"CARDS AND SMOKE SHOP","650 PATCHOGUE ROAD","PORT JEFFERSON STATION","NY",11776,Yes,Yes,ENDS / E-liquid,JUUL,Tobacco,11/18/2021,12/28/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"SUPER FANTASTIC DELI","14201 FARMERS BLVD","JAMAICA","NY",11434,Yes,Yes,Cigar(s),Other,Sweet Aromatic,11/18/2021,12/28/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"ROME HABIB MARKET","301 LAWRENCE STREET","ROME","NY",13440,Yes,Yes,ENDS / E-liquid,Other,Spearmint,11/19/2021,12/28/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"SUNOCO","877 MILITARY ROAD","KENMORE","NY",14217,Yes,Yes,Cigarettes in a package,Newport,Menthol,11/17/2021,12/28/2021,Warning Letter Issued,,Charges not yet available
"120 CIRCLE DELI","120 HUGH J GRANT CIRCLE","BRONX","NY",10472,Yes,Yes,Cigar(s),Other,Russian Cream,11/13/2021,12/23/2021,Warning Letter Issued,,Charges not yet available
"APOLLO DELI AND FRUIT","2350 FREDERICK DOUGLASS BOULEVARD","NEW YORK","NY",10027,Yes,Yes,Cigar(s),Other,,11/13/2021,12/23/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"RIVERDALE VAPE AND CANDY","215 WEST 231ST STREET","BRONX","NY",10463,Yes,Yes,ENDS / E-liquid,Other,Watermelon Ice,11/13/2021,12/23/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"DOLOMA CONVENIENCE STORE INC.","5565 BROADWAY","BRONX","NY",10463,Yes,Yes,Cigarettes in a package,Newport,Menthol,11/13/2021,12/23/2021,Warning Letter Issued,,1140.14(a)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"SK MART CONVENIENCE INC","120 72 QUEENS BLVD.","KEW GARDENS","NY",11415,Yes,Yes,ENDS / E-liquid,JUUL,Virginia Tobacco,11/14/2021,12/23/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"QUICK STOP DELI GROCERY","141 W 231ST ST","BRONX","NY",10463,Yes,Yes,Cigar(s),Other,,11/13/2021,12/23/2021,Warning Letter Issued,,Charges not yet available
"STOP AND GAS","4100 SENECA STREET","BUFFALO","NY",14224,Yes,Yes,Cigarettes in a package,Newport,Menthol,11/13/2021,12/23/2021,Warning Letter Issued,,Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"MUTAZ SMOKE SHOP","365 LENOX AVENUE","NEW YORK","NY",10027,Yes,Yes,ENDS / E-liquid,Other,Orange Soda,11/13/2021,12/23/2021,Warning Letter Issued,,Charges not yet available
"USA SNACK SHOP","1595 CENTRAL AVENUE","ALBANY","NY",12205,Yes,Yes,Cigarettes in a package,Marlboro,,11/14/2021,12/23/2021,Warning Letter Issued,,1140.14(a)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"STOP 1 SMOKE AND SHOP","1225 MONTAUK HWY","MASTIC","NY",11950,Yes,Yes,ENDS / E-liquid,JUUL,Menthol,11/11/2021,12/21/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"DOLLAR GENERAL 10547","4257 LAKE AVENUE","BLASDELL","NY",14219,Yes,Yes,Cigarettes in a package,Newport,Menthol,11/13/2021,12/21/2021,Warning Letter Issued,,Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"BK NEWS INC","90 WILLIAM STREET","NEW YORK","NY",10038,Yes,Yes,Cigar(s),Other,,11/04/2021,12/21/2021,Warning Letter Issued,,Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"DELI-LICIOUS","7102 MYRTLE AVE","GLENDALE","NY",11385,Yes,Yes,Cigar(s),Other,,11/06/2021,12/21/2021,Warning Letter Issued,,1140.14(b)(2)(i)-Failure to verify age; Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21
"ISLAND HOOKAH","291 WEST MAIN STREET","SAYVILLE","NY",11782,Yes,Yes,ENDS / E-liquid,JUUL,Menthol,11/11/2021,12/21/2021,Warning Letter Issued,,Charges not yet available
