field_1,retailer_name,minor_involved,sale_to_minor,product_type,brand,flavor,inspection_date,decision_date,inspection_result,link,charges,address,lon,lat,newdate
"458",FAMILY DELI GROCERY INC.,Yes,true,Cigar(s),Other,NA,10/30/2019,11/27/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","19821 HOLLIS AVENUE, SAINT ALBANS, NY, 11412",,,2019/11/27
"469",CIRCLE 5 DELI,Yes,true,Cigar(s),Other,NA,10/02/2019,10/31/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","13440 GUY R BREWER BLVD, JAMAICA, NY, 11434",,,2019/10/31
"487",HOLLISWOODS DELI,Yes,true,Cigar(s),Other,NA,08/08/2019,09/05/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","19702 HILLSIDE AVENUE, HOLLIS, NY, 11423",,,2019/09/05
"492",STAR DELI AND GRILL,Yes,true,Cigar(s),Other,NA,07/25/2019,08/22/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","106-32 SUTPHIN BOULEVARD, JAMAICA, NY, 11435",,,2019/08/22
"495",5 STAR DELI GROCERY,Yes,true,Cigar(s),Other,NA,07/19/2019,08/15/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","18812 LIBERTY AVENUE, SAINT ALBANS, NY, 11412",,,2019/08/15
"496",SUN SHINE II DELI AND GROCERY,Yes,true,Cigar(s),Other,NA,07/19/2019,08/15/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","13528 ROCKAWAY BOULEVARD, SOUTH OZONE PARK, NY, 11420",,,2019/08/15
"497",FARMERS DELI GROCERY,Yes,true,Cigar(s),Other,NA,See Complaint,08/14/2019,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2019-H-3819"")",See Complaint,"11104 FARMERS BOULVEARD, SAINT ALBANS, NY, 11412",,,2019/08/14
"502",MAGED GROCERY AND DELI,Yes,true,Cigar(s),Other,NA,06/17/2019,07/25/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","10924 MERRICK BLVD, JAMAICA, NY, 11433",,,2019/07/25
"504",JOE SOUTH SIDE DELI INC.,Yes,true,Cigar(s),Other,NA,06/17/2019,07/18/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","11577 SUTPHIN BLVD, JAMAICA, NY, 11434",,,2019/07/18
"508",URENA GROCERY,Yes,true,Cigar(s),Other,NA,See Complaint,07/16/2019,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2019-H-3378"")",See Complaint,"149-06 LINDEN BOULEVARD, JAMAICA, NY, 11436",,,2019/07/16
"517",111 DELI & GRILL,Yes,true,Cigar(s),Other,NA,04/26/2019,06/06/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","11052 SUTPHIN BOULEVARD, JAMAICA, NY, 11435",,,2019/06/06
"528",DELI AND GROCERY CORP,Yes,true,Cigar(s),Other,NA,04/17/2019,05/30/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","105-15 177TH STREET, JAMAICA, NY, 11433",,,2019/05/30
"531",ONE STOP DELI & GRILL,Yes,true,Cigar(s),Other,NA,04/17/2019,05/30/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","175-44 LIBERTY AVENUE, JAMAICA, NY, 11433",,,2019/05/30
"532",G AND J DELI,Yes,true,Cigar(s),Other,NA,04/16/2019,05/23/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","164-01 HILLSIDE AVENUE, JAMAICA, NY, 11432",,,2019/05/23
"620",DANIA DELI GROCERY CORP.,Yes,true,Cigar(s),Other,NA,See Complaint,10/04/2018,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2018-H-3764"")",See Complaint,"14518 111TH AVENUE, JAMAICA, NY, 11435",,,2018/10/04
"634",SUTPHIN 121 DELI GROCERY INC.,Yes,true,Cigar(s),Other,NA,06/12/2018,08/09/2018,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","12105 SUTPHIN BOULEVARD, QUEENS, NY, 11434",,,2018/08/09
"637",LINDEN DELI GROCERY,Yes,true,Cigar(s),Black & Mild,NA,06/11/2018,08/09/2018,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","196-19 LINDEN BOULEVARD, ST ALBANS, NY, 11412",,,2018/08/09
"642",MARMOL DELI GROCERY,Yes,true,Cigar(s),Black & Mild,NA,04/22/2018,08/02/2018,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","11312 GUY R BREWER BOULEVARD, JAMAICA, NY, 11433",,,2018/08/02
"648",FARMERS DELI GROCERY,Yes,true,Cigar(s),Black & Mild,NA,06/04/2018,07/26/2018,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","11104 FARMERS BOULVEARD, SAINT ALBANS, NY, 11412",,,2018/07/26
"654",POLANCO DELI GROCERY,Yes,true,Single cigarette,N/A,NA,See Complaint,07/16/2018,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2018-H-2711"")",See Complaint,"14702 FOCH BOULEVARD, JAMAICA, NY, 11436",,,2018/07/16
"655",SUNSHINE DELI AND GROCERY,Yes,true,Cigar(s),Other,NA,See Complaint,07/13/2018,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2018-H-2703"")",See Complaint,"111-08 MERRICK BOULEVARD, JAMAICA, NY, 11433",,,2018/07/13
"671",COMMUNITY MERRICK DELI,Yes,true,Cigar(s),Black & Mild,NA,See Complaint,06/21/2018,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2018-H-2385"")",See Complaint,"10914 MERRICK BOULEVARD, JAMAICA, NY, 11433",,,2018/06/21
"679",MJ GROCERY,Yes,true,Cigar(s),Black & Mild,NA,04/20/2018,06/14/2018,Warning Letter Issued,NA,1140.14(b)(1)-Sale to a Minor,"110-02 GUY BREWER BOULEVARD, JAMAICA, NY, 11433",,,2018/06/14
"703",FIVE J DELI AND GROCERY,Yes,true,Cigar(s),Other,NA,See Complaint,03/28/2018,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2018-H-1279"")",See Complaint,"14412 LAKEWOOD AVENUE, JAMAICA, NY, 11435",,,2018/03/28
"704",DANIA DELI GROCERY CORP.,Yes,true,Cigar(s),Other,NA,See Complaint,03/27/2018,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2018-H-1249"")",See Complaint,"145-18 111TH AVENUE, JAMAICA, NY, 11435",,,2018/03/27
"715",ALSAMET FOOD CORP.,Yes,true,Cigar(s),Other,NA,01/25/2018,02/15/2018,Warning Letter Issued,NA,1140.14(b)(1)-Sale to a Minor,"14702 ROCKAWAY BOULEVARD, JAMAICA, NY, 11436",,,2018/02/15
"718",MARMOL DELI GROCERY,Yes,true,Cigar(s),Other,NA,01/25/2018,02/15/2018,Warning Letter Issued,NA,1140.14(b)(1)-Sale to a Minor,"11312 GUY R BREWER BOULEVARDD, JAMAICA, NY, 11433",,,2018/02/15
"720",URENA GROCERY,Yes,true,Cigar(s),Other,NA,01/25/2018,02/15/2018,Warning Letter Issued,NA,1140.14(b)(1)-Sale to a Minor,"149-06 LINDEN BOULEVARD, JAMAICA, NY, 11436",,,2018/02/15
"745",142 BEST SUPER DELI CORP,Yes,true,Cigar(s),Other,NA,10/30/2017,11/09/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","141-34 ROCKAWAY BOULEVARD, JAMAICA, NY, 11436",,,2017/11/09
"747",POLANCO DELI GROCERY,Yes,true,Cigar(s),Other,NA,10/30/2017,11/09/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","147-02 FOCH BOULEVARD, JAMAICA, NY, 11436",,,2017/11/09
"797",CIBAO EXPRESS,Yes,true,Cigar(s),Other,NA,08/02/2017,09/07/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","17142 LIBERTY AVENUE, JAMAICA, NY, 11433",,,2017/09/07
"798",SUNSHINE DELI & GROCERY.,Yes,true,Cigar(s),Other,NA,08/23/2017,09/07/2017,Warning Letter Issued,NA,1140.14(b)(1)-Sale to a Minor,"111-08 MERRICK BOULEVARD, JAMAICA, NY, 11433",,,2017/09/07
"799",DELICIOUS DELUXE,Yes,true,Cigar(s),Black & Mild,NA,See Complaint,09/07/2017,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5440"")",See Complaint,"118-65 FARMERS BOULEVARD, SAINT ALBANS, NY, 11412",,,2017/09/07
"802",MEJIAS DELI GROCERY,Yes,true,Cigar(s),Black & Mild,NA,See Complaint,09/06/2017,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5423"")",See Complaint,"11327 FARMERS BOULEVARD, ST ALBANS, NY, 11412",,,2017/09/06
"803",TAKATY DELI AND GRILL,Yes,true,Cigar(s),Black & Mild,NA,See Complaint,09/01/2017,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5366"")",See Complaint,"20115 LINDEN BOULEVARD, SAINT ALBANS, NY, 11412",,,2017/09/01
"807",J & C GROCERY,Yes,true,Cigar(s),Black & Mild,NA,08/02/2017,08/31/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","110-02 GUY R BREWER BOULEVARD, JAMAICA, NY, 11433",,,2017/08/31
"813",COMMUNITY MERRICK DELI,Yes,true,Cigar(s),Black & Mild,NA,08/02/2017,08/24/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","109-14 MERRICK BOULEVARD, JAMAICA, NY, 11433",,,2017/08/24
"818",SWEET CORNER DELI & GROCERY,Yes,true,Cigar(s),Other,NA,08/04/2017,08/17/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","107-01 GUY R BREWER BLVD, JAMAICA, NY, 11433",,,2017/08/17
"821",SOUTH ROAD DELI & GRILL,Yes,true,Cigar(s),Other,NA,08/03/2017,08/17/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","16224 TUSKEGEE AIRMEN WAY, JAMAICA, NY, 11433",,,2017/08/17
"824",EL MENEO GROCERY,Yes,true,Cigar(s),Black & Mild,NA,08/06/2017,08/17/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","210-21 HOLLIS AVENUE, QUEENS VILLAGE, NY, 11429",,,2017/08/17
"826",FIVE J DELI AND GROCERY,Yes,true,Cigar(s),Black & Mild,NA,See Complaint,08/14/2017,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-4884"")",See Complaint,"14412 LAKEWOOD AVENUE, JAMAICA, NY, 11435",,,2017/08/14
"838",LIBERTY EXPRESS DELI,Yes,true,Cigar(s),Other,NA,07/19/2017,08/03/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","12822 LIBERTY AVENUE, SOUTH RICHMOND HILL, NY, 11419",,,2017/08/03
"846",ROCKAWAY BLVD. DELI GROCERY CORP.,Yes,true,Cigar(s),Other,NA,07/05/2017,07/27/2017,Warning Letter Issued,NA,1140.14(b)(1)-Sale to a Minor,"134-14 ROCKAWAY BOULEVARD, SOUTH OZONE PARK, NY, 11420",,,2017/07/27
"854",NAGIB DELI GROCERY INC.,Yes,true,Cigar(s),Other,NA,07/05/2017,07/27/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","127-01 111TH AVENUE, SOUTH OZONE PARK, NY, 11420",,,2017/07/27
"863",UNITED R. GROCERY,Yes,true,Cigar(s),Other,NA,06/20/2017,07/20/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","19616 120TH AVENUE, SAINT ALBANS, NY, 11412",,,2017/07/20
"867",TONY GROCERY STORE,Yes,true,Cigar(s),Other,NA,03/23/2017,07/13/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","11505 SUTPHIN BOULEVARD, JAMAICA, NY, 11434",,,2017/07/13
"880",EXPRESS DELI,Yes,true,Cigar(s),Other,NA,06/03/2017,06/22/2017,Warning Letter Issued,NA,1140.14(b)(1)-Sale to a Minor,"79-02 PARSONS BOULEVARD, FLUSHING, NY, 11366",,,2017/06/22
"883",199 LINDEN DELI GROCERY,Yes,true,Cigar(s),Other,NA,05/03/2017,06/15/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","19913 LINDEN BOULEVARD, SAINT ALBANS, NY, 11412",,,2017/06/15
"892",ARROW DELI GROCERY,Yes,true,Cigar(s),Other,NA,04/28/2017,06/08/2017,Warning Letter Issued,NA,1140.14(b)(1)-Sale to a Minor,"186-02 122ND AVENUE, SPRINGFIELD GARDENS, NY, 11413",,,2017/06/08
"901",BAISLEY DELI,Yes,true,Cigar(s),Black & Mild,NA,05/23/2017,06/01/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","11707 GUY R BREWER BOULEVARD, JAMAICA, NY, 11434",,,2017/06/01
"918",TAKATY DELI CORP.,Yes,true,Cigar(s),Black & Mild,NA,05/08/2017,05/18/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","20115 LINDEN BLVD, ST ALBANS, NY, 11412",,,2017/05/18
"919",SUTPHIN KING DELI & GRILL,Yes,true,Cigar(s),Black & Mild,NA,05/06/2017,05/18/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","10760 SUTPHIN BOULEVARD, JAMAICA, NY, 11435",,,2017/05/18
"920",RED TIGER DELI & GRILL,Yes,true,Cigar(s),Other,NA,05/03/2017,05/18/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","192-19 LINDEN BLVD, ST ALBANS, NY, 11412",,,2017/05/18
"922",JOBA GROCERY,Yes,true,Cigar(s),Black & Mild,NA,05/06/2017,05/18/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","9236A GUY R BREWER BOULEVARD, JAMAICA, NY, 11433",,,2017/05/18
"925",205 DELI GROCERY CORP.,Yes,true,Cigar(s),Other,NA,04/27/2017,05/11/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","20519 HOLLIS AVE, ST ALBANS, NY, 11412",,,2017/05/11
"933",Y&M DELI GROCERY,Yes,true,Cigar(s),Other,NA,04/27/2017,05/04/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","11052 FARMERS BOULEVARD, SAINT ALBANS, NY, 11412",,,2017/05/04
"934",FAMILY DELI GROCERY INC.,Yes,true,Cigar(s),Black & Mild,NA,04/27/2017,05/04/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","19821 HOLLIS AVENUE, SAINT ALBANS, NY, 11412",,,2017/05/04
"935",MEJIAS DELI GROCERY,Yes,true,Cigar(s),Black & Mild,NA,04/27/2017,05/04/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","11327 FARMERS BOULEVARD, ST ALBANS, NY, 11412",,,2017/05/04
"936",FARMERS DELI GROCERY,Yes,true,Cigar(s),Other,NA,04/27/2017,05/04/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","11425 FARMERS BOULEVARD, SAINT ALBANS, NY, 11412",,,2017/05/04
"938",DELICIOUS DELUXE,Yes,true,Cigar(s),Black & Mild,NA,04/21/2017,05/04/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","118-65 FARMERS BOULEVARD, SAINT ALBANS, NY, 11412",,,2017/05/04
"946",EL MAMEY FOOD STORE CORPORATIO,Yes,true,Cigar(s),Black & Mild,NA,04/21/2017,04/27/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","11737 FARMERS BLVD, SAINT ALBANS, NY, 11412",,,2017/04/27
"952",HESS STATION #32521,Yes,true,Cigarettes in a package,Newport,NA,04/10/2017,04/20/2017,Warning Letter Issued,NA,1140.14(a)(1)-Sale to a minor,"148 27 LIBERTY AVE, JAMAICA, NY, 11435",,,2017/04/20
"961",FIRST & LAST NEWSSTAND,Yes,true,Cigar(s),Other,NA,04/10/2017,04/20/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","89-15 165TH STREET, JAMAICA, NY, 11432",,,2017/04/20
"970",DANIA DELI GROCERY CORP.,Yes,true,Cigar(s),Black & Mild,NA,04/06/2017,04/13/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","145-18 111TH AVENUE, JAMAICA, NY, 11435",,,2017/04/13
"971",DOUBLE J DELI & GROCERY,Yes,true,Cigar(s),Other,NA,04/06/2017,04/13/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","14806 90TH AVE, JAMAICA, NY, 11435",,,2017/04/13
"972",E & J DELI & GRILL,Yes,true,Cigar(s),Other,NA,04/06/2017,04/13/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","14309 95TH AVENUE, JAMAICA, NY, 11435",,,2017/04/13
"981",FIVE J DELI & GROCERY,Yes,true,Cigar(s),Black & Mild,NA,03/22/2017,04/06/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","14412 LAKEWOOD AVE, JAMAICA, NY, 11435",,,2017/04/06
"982",LAKEWOOD MINI MART & DELI,Yes,true,Cigar(s),Black & Mild,NA,03/22/2017,04/06/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","14316 LAKEWOOD AVENUE, JAMAICA, NY, 11435",,,2017/04/06
"983",J & I DELI GROCERY,Yes,true,Cigar(s),Other,NA,03/26/2017,04/06/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","11052 SUTPHIN BOULEVARD, JAMAICA, NY, 11435",,,2017/04/06
"984",STAR DELI & GRILL,Yes,true,Cigar(s),Other,NA,03/27/2017,04/06/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","106-32 SUTPHIN BLVD, JAMAICA, NY, 11435",,,2017/04/06
"985",GOURMET DELI,Yes,true,Cigar(s),Other,NA,03/26/2017,04/06/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","109-18 SUTPHIN BOULEVARD, JAMAICA, NY, 11435",,,2017/04/06
"986",DELI & GRILL,Yes,true,Cigar(s),Other,NA,03/27/2017,04/06/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","87-68 SUTPHIN BOULEVARD, JAMAICA, NY, 11435",,,2017/04/06
"987",LONG ISLAND EXPRESS DELI & GROCERY,Yes,true,Cigar(s),Other,NA,03/26/2017,04/06/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","9116A SUTPHIN BOULEVARD, JAMAICA, NY, 11435",,,2017/04/06
"988",FINE GOURMET DELI,Yes,true,Cigar(s),Other,NA,03/27/2017,04/06/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","90-50 SUTPHIN BOULEVARD, JAMAICA, NY, 11435",,,2017/04/06
"991",HAS MINI MARKET INC.,Yes,true,Cigar(s),Other,NA,03/27/2017,04/06/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","107-47 SUTPHIN BLVD, JAMAICA, NY, 11435",,,2017/04/06
"1017",BP,Yes,true,Cigarettes in a package,Newport,NA,See Complaint,03/14/2017,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-1345"")",See Complaint,"11402 VAN WYCK EXPRESSWAY, SOUTH OZONE PARK, NY, 11420",,,2017/03/14
"1022",KING OF ROCKAWAY DELI AND GROCERY,Yes,true,Cigarettes in a package,Newport,NA,See Complaint,03/07/2017,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-1176"")",See Complaint,"14221 ROCKAWAY BOULEVARD, JAMAICA, NY, 11436",,,2017/03/07
"1054",OZONE PARK CITGO,Yes,true,Cigarettes in a package,Newport,NA,11/17/2016,12/01/2016,Warning Letter Issued,NA,"1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age","156-05 ROCKAWAY BOULEVARD, JAMAICA, NY, 11434",,,2016/12/01
"1059",89-31 DELI & GRILL,Yes,true,Cigarettes in a package,Newport,NA,11/08/2016,11/17/2016,Warning Letter Issued,NA,1140.14(a)(1)-Sale to a minor,"8931 161ST STREET, JAMAICA, NY, 11432",,,2016/11/17
"1071",KING DELI OF JAMAICA,Yes,true,Cigarettes in a package,Newport,NA,10/13/2016,10/27/2016,Warning Letter Issued,NA,"1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age","17302 JAMAICA AVENUE, JAMAICA, NY, 11432",,,2016/10/27
"1072",C-TOWN SUPERMARKET,Yes,true,Cigarettes in a package,Newport,NA,09/28/2016,10/20/2016,Warning Letter Issued,NA,"1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age","142-36 FOCH BOULEVARD, JAMAICA, NY, 11436",,,2016/10/20
"1073",CARILUIS DELI & GROCERY,Yes,true,Cigarettes in a package,Newport,NA,09/26/2016,10/20/2016,Warning Letter Issued,NA,1140.14(a)(1)-Sale to a minor,"14418 ROCKAWAY BOULEVARD, SOUTH OZONE PARK, NY, 11436",,,2016/10/20
"1075",GULF EXPRESS,Yes,true,Cigarettes in a package,Newport,NA,10/03/2016,10/20/2016,Warning Letter Issued,NA,1140.14(a)(1)-Sale to a minor,"13344 150TH STREET, JAMAICA, NY, 11436",,,2016/10/20
"1078",NOLASCO GROCERY,Yes,true,Cigarettes in a package,Newport,NA,Not yet available,10/12/2016,Civil Money Penalty not available,NA,Not yet available,"10902 GUY BREWER BOULEVARD, JAMAICA, NY, 11433",,,2016/10/12
"1115",FAMILY DELI AND GRILL,Yes,true,Cigarettes in a package,Newport,NA,Not yet available,06/06/2016,Civil Money Penalty not available,NA,Not yet available,"19837 JAMAICA AVENUE B, HOLLIS, NY, 11423",,,2016/06/06
"1218",BP,Yes,true,Cigarettes in a package,Newport,NA,10/04/2015,10/08/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","11402 VAN WYCK EXPRESSWAY, SOUTH OZONE PARK, NY, 11420",,,2015/10/08
"1224",131 ROCKAWAY FOOD CORP,Yes,true,Cigarettes in a package,Newport,NA,09/20/2015,10/01/2015,Warning Letter Issued,NA,1140.14(a)-Sale to a minor,"13102 ROCKAWAY BOULEVARD, SOUTH OZONE PARK, NY, 11420",,,2015/10/01
"1240",MOBIL MART,Yes,true,Cigarettes in a package,Newport,NA,09/25/2015,10/01/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","113 21 ROCKAWAY BOULEVARD, SOUTH OZONE PARK, NY, 11420",,,2015/10/01
"1245",BP,Yes,true,Cigarettes in a package,Newport,NA,09/19/2015,09/24/2015,Warning Letter Issued,NA,1140.14(a)-Sale to a minor,"13011 NORTH CONDUIT AVENUE, SOUTH OZONE PARK, NY, 11420",,,2015/09/24
"1246",YALIN FOOD CORP.,Yes,true,Cigarettes in a package,Newport,NA,09/13/2015,09/24/2015,Warning Letter Issued,NA,1140.14(a)-Sale to a minor,"188-19 JAMAICA AVENUE, HOLLIS, NY, 11423",,,2015/09/24
"1254",QUICK STOP DELI & GRILL,Yes,true,Cigarettes in a package,Newport,NA,09/13/2015,09/24/2015,Warning Letter Issued,NA,1140.14(a)-Sale to a minor,"19020 HILLSIDE AVENUE, HOLLIS, NY, 11423",,,2015/09/24
"1255",FAMILY DELI & GRILL,Yes,true,Cigarettes in a package,Newport,NA,09/13/2015,09/24/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","19837 JAMAICA AVENUE, HOLLIS, NY, 11423",,,2015/09/24
"1263",BUEN GUSTO SUPERMARKET,Yes,true,Cigarettes in a package,Marlboro,NA,See Complaint,09/22/2015,Civil Money Penalty Archived,"=HYPERLINK(""http://wayback.archive-it.org/9166/20180223204141/http://www.fda.gov/downloads/TobaccoProducts/GuidanceComplianceRegulatoryInformation/UCM502886.pdf"")",See Complaint,"141-16 ROCKAWAY BOULEVARD, SOUTH OZONE PARK, NY, 11436",,,2015/09/22
"1281",ONE STOP DELI AND GROCERY,Yes,true,Cigarettes in a package,Newport,NA,See Complaint,09/15/2015,Civil Money Penalty Archived,"=HYPERLINK(""http://wayback.archive-it.org/9166/20180223204141/http://www.fda.gov/downloads/TobaccoProducts/GuidanceComplianceRegulatoryInformation/UCM502890.pdf"")",See Complaint,"131-21 SPRINGFIELD BOULEVARD, SPRINGFIELD GARDENS, NY, 11413",,,2015/09/15
"1487",VALERY DELI GROCERY,Yes,true,Cigarettes in a package,Newport,NA,03/18/2015,06/04/2015,Warning Letter Issued,NA,1140.14(a)-Sale to a minor,"19102 JAMAICA AVENUE, HOLLIS, NY, 11423",,,2015/06/04
